"Lon","Lat","unique.df1.id."
8.55,45.05,279
8.65,45.05,280
8.75,45.05,281
8.85,45.05,282
8.95,45.05,283
9.05,45.05,284
9.15,45.05,285
9.25,45.05,286
9.35,45.05,287
9.45,45.05,288
9.55,45.05,289
9.65,45.05,290
9.75,45.05,291
9.85,45.05,292
9.95,45.05,293
10.05,45.05,294
10.15,45.05,295
10.25,45.05,296
10.35,45.05,297
10.45,45.05,298
10.55,45.05,299
10.65,45.05,300
10.75,45.05,301
10.85,45.05,302
10.95,45.05,303
11.05,45.05,304
11.15,45.05,305
11.25,45.05,306
11.35,45.05,307
11.45,45.05,308
11.55,45.05,309
11.65,45.05,310
11.75,45.05,311
11.85,45.05,312
8.05,45.15,313
8.15,45.15,314
8.25,45.15,315
8.35,45.15,316
8.45,45.15,317
8.55,45.15,318
8.65,45.15,319
8.75,45.15,320
8.85,45.15,321
8.95,45.15,322
9.05,45.15,323
9.15,45.15,324
9.25,45.15,325
9.35,45.15,326
9.45,45.15,327
9.55,45.15,328
9.65,45.15,329
9.75,45.15,330
9.85,45.15,331
9.95,45.15,332
10.05,45.15,333
10.15,45.15,334
10.25,45.15,335
10.35,45.15,336
10.45,45.15,337
10.55,45.15,338
10.65,45.15,339
10.75,45.15,340
10.85,45.15,341
10.95,45.15,342
11.05,45.15,343
11.15,45.15,344
11.25,45.15,345
11.35,45.15,346
11.45,45.15,347
11.55,45.15,348
11.65,45.15,349
11.75,45.15,350
11.85,45.15,351
8.05,45.25,352
8.15,45.25,353
8.25,45.25,354
8.35,45.25,355
8.45,45.25,356
8.55,45.25,357
8.65,45.25,358
8.75,45.25,359
8.85,45.25,360
8.95,45.25,361
9.05,45.25,362
9.15,45.25,363
9.25,45.25,364
9.35,45.25,365
9.45,45.25,366
9.55,45.25,367
9.65,45.25,368
9.75,45.25,369
9.85,45.25,370
9.95,45.25,371
10.05,45.25,372
10.15,45.25,373
10.25,45.25,374
10.35,45.25,375
10.45,45.25,376
10.55,45.25,377
10.65,45.25,378
10.75,45.25,379
10.85,45.25,380
10.95,45.25,381
11.05,45.25,382
11.15,45.25,383
11.25,45.25,384
11.35,45.25,385
11.45,45.25,386
11.55,45.25,387
11.65,45.25,388
11.75,45.25,389
11.85,45.25,390
8.05,45.35,391
8.15,45.35,392
8.25,45.35,393
8.35,45.35,394
8.45,45.35,395
8.55,45.35,396
8.65,45.35,397
8.75,45.35,398
8.85,45.35,399
8.95,45.35,400
9.05,45.35,401
9.15,45.35,402
9.25,45.35,403
9.35,45.35,404
9.45,45.35,405
9.55,45.35,406
9.65,45.35,407
9.75,45.35,408
9.85,45.35,409
9.95,45.35,410
10.05,45.35,411
10.15,45.35,412
10.25,45.35,413
10.35,45.35,414
10.45,45.35,415
10.55,45.35,416
10.65,45.35,417
10.75,45.35,418
10.85,45.35,419
10.95,45.35,420
11.05,45.35,421
11.15,45.35,422
11.25,45.35,423
11.35,45.35,424
11.45,45.35,425
11.55,45.35,426
11.65,45.35,427
11.75,45.35,428
11.85,45.35,429
8.05,45.45,430
8.15,45.45,431
8.25,45.45,432
8.35,45.45,433
8.45,45.45,434
8.55,45.45,435
8.65,45.45,436
8.75,45.45,437
8.85,45.45,438
8.95,45.45,439
9.05,45.45,440
9.15,45.45,441
9.25,45.45,442
9.35,45.45,443
9.45,45.45,444
9.55,45.45,445
9.65,45.45,446
9.75,45.45,447
9.85,45.45,448
9.95,45.45,449
10.05,45.45,450
10.15,45.45,451
10.25,45.45,452
10.35,45.45,453
10.45,45.45,454
10.55,45.45,455
10.65,45.45,456
10.75,45.45,457
10.85,45.45,458
10.95,45.45,459
11.05,45.45,460
11.15,45.45,461
11.25,45.45,462
11.35,45.45,463
11.45,45.45,464
11.55,45.45,465
11.65,45.45,466
11.75,45.45,467
11.85,45.45,468
8.05,45.55,469
8.15,45.55,470
8.25,45.55,471
8.35,45.55,472
8.45,45.55,473
8.55,45.55,474
8.65,45.55,475
8.75,45.55,476
8.85,45.55,477
8.95,45.55,478
9.05,45.55,479
9.15,45.55,480
9.25,45.55,481
9.35,45.55,482
9.45,45.55,483
9.55,45.55,484
9.65,45.55,485
9.75,45.55,486
9.85,45.55,487
9.95,45.55,488
10.05,45.55,489
10.15,45.55,490
10.25,45.55,491
10.35,45.55,492
10.45,45.55,493
10.55,45.55,494
10.65,45.55,495
10.75,45.55,496
10.85,45.55,497
10.95,45.55,498
11.05,45.55,499
11.15,45.55,500
11.25,45.55,501
11.35,45.55,502
11.45,45.55,503
11.55,45.55,504
11.65,45.55,505
11.75,45.55,506
11.85,45.55,507
8.05,45.65,508
8.15,45.65,509
8.25,45.65,510
8.35,45.65,511
8.45,45.65,512
8.55,45.65,513
8.65,45.65,514
8.75,45.65,515
8.85,45.65,516
8.95,45.65,517
9.05,45.65,518
9.15,45.65,519
9.25,45.65,520
9.35,45.65,521
9.45,45.65,522
9.55,45.65,523
9.65,45.65,524
9.75,45.65,525
9.85,45.65,526
9.95,45.65,527
10.05,45.65,528
10.15,45.65,529
10.25,45.65,530
10.35,45.65,531
10.45,45.65,532
10.55,45.65,533
10.65,45.65,534
10.75,45.65,535
10.85,45.65,536
10.95,45.65,537
11.05,45.65,538
11.15,45.65,539
11.25,45.65,540
11.35,45.65,541
11.45,45.65,542
11.55,45.65,543
11.65,45.65,544
11.75,45.65,545
11.85,45.65,546
8.05,45.75,547
8.15,45.75,548
8.25,45.75,549
8.35,45.75,550
8.45,45.75,551
8.55,45.75,552
8.65,45.75,553
8.75,45.75,554
8.85,45.75,555
8.95,45.75,556
9.05,45.75,557
9.15,45.75,558
9.25,45.75,559
9.35,45.75,560
9.45,45.75,561
9.55,45.75,562
9.65,45.75,563
9.75,45.75,564
9.85,45.75,565
9.95,45.75,566
10.05,45.75,567
10.15,45.75,568
10.25,45.75,569
10.35,45.75,570
10.45,45.75,571
10.55,45.75,572
10.65,45.75,573
10.75,45.75,574
10.85,45.75,575
10.95,45.75,576
11.05,45.75,577
11.15,45.75,578
11.25,45.75,579
11.35,45.75,580
11.45,45.75,581
11.55,45.75,582
11.65,45.75,583
11.75,45.75,584
11.85,45.75,585
8.05,45.85,586
8.15,45.85,587
8.25,45.85,588
8.35,45.85,589
8.45,45.85,590
8.55,45.85,591
8.65,45.85,592
8.75,45.85,593
8.85,45.85,594
8.95,45.85,595
9.05,45.85,596
9.15,45.85,597
9.25,45.85,598
9.35,45.85,599
9.45,45.85,600
9.55,45.85,601
9.65,45.85,602
9.75,45.85,603
9.85,45.85,604
9.95,45.85,605
10.05,45.85,606
10.15,45.85,607
10.25,45.85,608
10.35,45.85,609
10.45,45.85,610
10.55,45.85,611
10.65,45.85,612
10.75,45.85,613
10.85,45.85,614
10.95,45.85,615
11.05,45.85,616
11.15,45.85,617
11.25,45.85,618
11.35,45.85,619
11.45,45.85,620
11.55,45.85,621
11.65,45.85,622
11.75,45.85,623
11.85,45.85,624
8.05,45.95,625
8.15,45.95,626
8.25,45.95,627
8.35,45.95,628
8.45,45.95,629
8.55,45.95,630
8.65,45.95,631
8.75,45.95,632
8.85,45.95,633
8.95,45.95,634
9.05,45.95,635
9.15,45.95,636
9.25,45.95,637
9.35,45.95,638
9.45,45.95,639
9.55,45.95,640
9.65,45.95,641
9.75,45.95,642
9.85,45.95,643
9.95,45.95,644
10.05,45.95,645
10.15,45.95,646
10.25,45.95,647
10.35,45.95,648
10.45,45.95,649
10.55,45.95,650
10.65,45.95,651
10.75,45.95,652
10.85,45.95,653
10.95,45.95,654
11.05,45.95,655
11.15,45.95,656
11.25,45.95,657
11.35,45.95,658
11.45,45.95,659
11.55,45.95,660
11.65,45.95,661
11.75,45.95,662
11.85,45.95,663
8.05,46.05,664
8.15,46.05,665
8.25,46.05,666
8.35,46.05,667
8.45,46.05,668
8.55,46.05,669
8.65,46.05,670
8.75,46.05,671
8.85,46.05,672
8.95,46.05,673
9.05,46.05,674
9.15,46.05,675
9.25,46.05,676
9.35,46.05,677
9.45,46.05,678
9.55,46.05,679
9.65,46.05,680
9.75,46.05,681
9.85,46.05,682
9.95,46.05,683
10.05,46.05,684
10.15,46.05,685
10.25,46.05,686
10.35,46.05,687
10.45,46.05,688
10.55,46.05,689
10.65,46.05,690
10.75,46.05,691
10.85,46.05,692
10.95,46.05,693
11.05,46.05,694
11.15,46.05,695
11.25,46.05,696
11.35,46.05,697
11.45,46.05,698
