,IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_nh3,AQ_nox,AQ_no2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LI_pigs_v2,LI_bovine_v2,LA_hvi,LA_lvi,LA_land_use,LA_soil_use,wind_dir_10m_N,wind_dir_100m_N,wind_dir_10m_S,wind_dir_100m_S,wind_dir_10m_E,wind_dir_100m_E,wind_dir_10m_O,wind_dir_100m_O,wind_dir_10m_NE,wind_dir_100m_NE,wind_dir_10m_NO,wind_dir_100m_NO,wind_dir_10m_SO,wind_dir_100m_SO,wind_dir_10m_SE,wind_dir_100m_SE
4384,0.0,0.0,0.0,2016-01-01,0.0,0.3611111111111111,0.1875409836065574,0.16990445859872613,0.28281008339046826,0.13323219703730144,0.0854409751645916,0.11245858751329481,1.080562448327345e-05,0.0,0.7109826589595372,0.20902709484892676,0.6694968160819079,0.840646285442737,0.971036879706507,0.06081734718090058,0.07465618860510805,0.06120996441281138,0.005038640377168967,0.0037032465127762038,0.005020505399649923,0.31443176549087903,0.004290105011525658,0.5055588063194851,0.6904508342208022,0.8929577464788732,0.4832451499118169,1.0,0.0,0.38493723849372297,0.001179245283019048,0.0038071065989848663,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4385,0.0,0.0,0.0,2016-01-02,0.0,0.2708333333333333,0.0721311475409836,0.13545647558386414,0.3027408836519604,0.09661788327681599,0.17036047193794404,0.17566229416007537,0.2145574855252277,0.16666666666666666,0.5568400770712891,0.01626453931974635,0.9235859657884881,0.964517661967369,0.9897663641629657,0.17617317976892333,0.19358686500140337,0.03790694609199947,0.05192553829204672,0.004526190182282008,0.0058893782661720954,0.30447960372301325,0.005207888670707761,0.5073142188414279,0.6861909833155839,0.8901408450704225,0.4861845972957086,0.989010989010989,0.007822685788787975,0.38075313807531386,0.001179245283019048,0.0038071065989848663,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4386,0.0,0.0,0.0,2016-01-03,0.0,0.18055555555555555,0.04983606557377049,0.12776008492569005,0.29317409952644413,0.13644476173478493,0.2679747082980249,0.30145845303732327,0.04018196856906557,0.16666666666666666,0.3834296724470114,0.12234222930584288,0.8404295167936072,0.9215903690796767,0.989959451631589,0.293445525398361,0.35244176255964077,0.06221167787004086,0.14177859144889263,0.005225692301361995,0.006710858067247602,0.29384888547097476,0.006061640911807414,0.5090696313633705,0.6822861199858006,0.8876553438276718,0.48912404467960036,0.989010989010989,0.014341590612777289,0.37656903765690386,0.001179245283019048,0.0038071065989848663,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4387,0.0,0.0,0.0,2016-01-04,0.0,0.20138888888888887,0.04721311475409837,0.10838641188959663,0.22237989699762423,0.12540900707954072,0.1433087803924125,0.3004804459712222,0.0582961124896611,0.16666666666666666,0.20038535645472066,0.05769948116246737,0.8459233362467226,0.8979882781561856,0.9835875651670207,0.1728877288407834,0.3439517260735335,0.059601950705153554,0.017870161852145877,0.005925194420441926,0.007491263878269332,0.2827657962294878,0.006851361734824535,0.5108250438853132,0.6780262690805823,0.8855012427506213,0.4920634920634921,0.9780219780219781,0.020860495436767046,0.37656903765690386,0.001179245283019048,0.002538071065990355,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4388,0.0,0.0,0.0,2016-01-05,0.0,0.2361111111111111,0.07540983606557376,0.16263269639065822,0.2737216384712279,0.11520613956808852,0.09882015513982137,0.09901099035440532,0.018411910669975416,0.16666666666666666,0.21194605009633705,0.043668825663806844,0.894743413659633,0.9605575795976558,0.9860977022591233,0.12013798893898191,0.13085882683132194,0.0295505469882694,0.022665780989258463,0.006542402172571349,0.008233755236933734,0.2712303359985524,0.007577051139759261,0.5119953188999415,0.6737664181753638,0.8835128417564209,0.4950029394473838,0.9670329670329672,0.028683181225554133,0.37238493723849386,0.001179245283019048,0.002538071065990355,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4389,0.0,0.0,0.0,2016-01-06,0.0,0.2638888888888889,0.07081967213114754,0.10254777070063696,0.21424813049093544,0.16865964661788327,0.19464180953001756,0.2032909937774301,0.026567411083540347,0.0,0.22928709055876695,0.09474719386890029,0.7888625296541393,0.8937113891968953,0.9463216837227264,0.1925091718838411,0.2939938254280101,0.06468960063266113,0.03817053610485556,0.0071184627412254065,0.008947810756330136,0.25924250477816857,0.00828139673866643,0.5137507314218843,0.6698615548455804,0.8816901408450704,0.4973544973544972,0.9560439560439562,0.035202086049543446,0.36820083682008387,0.001179245283019048,0.002538071065990355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4390,0.0,0.0,0.0,2016-01-07,0.0,0.29166666666666663,0.12721311475409838,0.3496815286624204,0.3681139085096545,0.15426259741804985,0.10419790104947524,0.11160283133045638,0.002057899090157384,0.0,0.26589595375722297,0.13230357082301877,0.7347983518541642,0.8596546808173609,0.9635064684301988,0.11922536368116525,0.21077743474600064,0.024831949387109524,0.0069828102976200145,0.007653376126404154,0.00963343043645854,0.24725467355778474,0.008943054725518651,0.5155061439438269,0.6656017039403621,0.88003314001657,0.5002939447383894,0.9560439560439562,0.04302477183833142,0.364016736401673,0.001179245283019048,0.002538071065990355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4391,0.0,0.0,0.0,2016-01-08,0.0,0.4097222222222222,0.1377049180327869,0.43561571125265397,0.37895626385190617,0.16458444880718662,0.1472198683267062,0.13470824826709374,0.013225806451613132,0.16666666666666666,0.36416184971098176,0.1401454779748381,0.7546510176051943,0.8830983684460636,0.9845530025101372,0.13355358022888641,0.1463654223968566,0.040701199420060626,0.01584498485167604,0.008147142328107704,0.010296933352711833,0.23481447134795244,0.00958336890634337,0.5172615564657694,0.6616968406105785,0.8787075393537696,0.5032333921222811,0.9450549450549417,0.04954367666232118,0.359832635983263,0.001179245283019048,0.002538071065990355,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4392,0.0,0.0,0.0,2016-01-09,0.0,0.3125,0.08524590163934427,0.49410828025477715,0.4892931740995265,0.20920340293890177,0.0645981357147513,0.04644311055147373,0.1325227460711334,0.16666666666666666,0.34104046242774544,0.008465020855234156,0.9580471969034837,0.9485189291937273,0.9548175323421508,0.011955390877397928,0.01747123210777435,0.012653222617635428,0.030069828102976197,0.008640908529811142,0.010944638580482906,0.22214808364339594,0.010287714505250567,0.5190169689877122,0.6574369897053602,0.8772162386081193,0.5061728395061729,0.9340659340659343,0.05606258148631049,0.3556485355648539,0.001179245283019048,0.0012690355329949554,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4393,0.0,0.0,0.0,2016-01-10,0.0,0.2708333333333333,0.07672131147540984,0.18662420382165607,0.3347896104724397,0.2457909453269082,0.12961997262238442,0.14668883482683162,0.019387923904053167,0.16666666666666666,0.2697495183044296,0.07931771168910443,0.9252091397178176,0.9415491842230319,0.9712299671751303,0.18420428203770972,0.2124614089250632,0.042836430736786606,0.04751875313902435,0.009134674731514636,0.011579705657468199,0.20950431448831186,0.010714590625800408,0.5207723815096548,0.6535321263755769,0.876056338028169,0.5091122868900646,0.9230769230769234,0.06388526727509847,0.3514644351464439,0.001179245283019048,0.0012690355329949554,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
